"행정구역","2024년09월_계_총인구수","2024년09월_계_연령구간인구수","2024년09월_계_0~9세","2024년09월_계_10~19세","2024년09월_계_20~29세","2024년09월_계_30~39세","2024년09월_계_40~49세","2024년09월_계_50~59세","2024년09월_계_60~69세","2024년09월_계_70~79세","2024년09월_계_80~89세","2024년09월_계_90~99세","2024년09월_계_100세 이상","2024년09월_남_총인구수","2024년09월_남_연령구간인구수","2024년09월_남_0~9세","2024년09월_남_10~19세","2024년09월_남_20~29세","2024년09월_남_30~39세","2024년09월_남_40~49세","2024년09월_남_50~59세","2024년09월_남_60~69세","2024년09월_남_70~79세","2024년09월_남_80~89세","2024년09월_남_90~99세","2024년09월_남_100세 이상","2024년09월_여_총인구수","2024년09월_여_연령구간인구수","2024년09월_여_0~9세","2024년09월_여_10~19세","2024년09월_여_20~29세","2024년09월_여_30~39세","2024년09월_여_40~49세","2024년09월_여_50~59세","2024년09월_여_60~69세","2024년09월_여_70~79세","2024년09월_여_80~89세","2024년09월_여_90~99세","2024년09월_여_100세 이상"
"서울특별시 용산구 이촌제1동(1117063000)","24,955","24,955","2,105","2,607","2,519","2,960","4,129","4,383","3,148","1,653","1,188","255","8","11,694","11,694","1,083","1,315","1,245","1,303","1,913","2,039","1,546","711","448","89","2","13,261","13,261","1,022","1,292","1,274","1,657","2,216","2,344","1,602","942","740","166","6"
"서울특별시 용산구 이촌제2동(1117064000)","7,752","7,752","395","428","777","1,312","1,115","1,242","1,275","734","396","77","1","3,610","3,610","182","226","382","655","548","583","557","311","143","23","0","4,142","4,142","213","202","395","657","567","659","718","423","253","54","1"
"서울특별시 용산구 이태원제1동(1117065000)","6,077","6,077","200","230","812","1,184","778","919","1,002","561","317","73","1","3,037","3,037","102","105","451","675","405","433","498","221","118","29","0","3,040","3,040","98","125","361","509","373","486","504","340","199","44","1"
"서울특별시 용산구 이태원제2동(1117066000)","8,716","8,716","330","405","1,190","1,706","1,302","1,261","1,175","741","519","82","5","4,120","4,120","184","192","595","898","640","577","518","299","184","31","2","4,596","4,596","146","213","595","808","662","684","657","442","335","51","3"
"서울특별시 용산구 한남동(1117068500)","14,340","14,340","891","907","1,587","2,568","2,436","2,290","1,906","1,107","546","101","1","6,783","6,783","456","481","771","1,186","1,173","1,071","894","489","235","27","0","7,557","7,557","435","426","816","1,382","1,263","1,219","1,012","618","311","74","1"
"서울특별시 용산구 서빙고동(1117069000)","12,562","12,562","649","1,369","1,536","1,496","2,115","2,158","1,689","819","605","120","6","6,038","6,038","333","678","773","747","1,022","1,018","848","366","203","46","4","6,524","6,524","316","691","763","749","1,093","1,140","841","453","402","74","2"
"서울특별시 용산구 보광동(1117070000)","7,385","7,385","157","355","914","1,149","981","1,351","1,335","719","365","58","1","3,709","3,709","89","218","516","648","519","668","594","301","138","18","0","3,676","3,676","68","137","398","501","462","683","741","418","227","40","1"
"서울특별시 성동구 (1120000000)","275,403","275,403","16,200","17,629","39,625","46,352","40,077","43,883","38,710","20,916","10,607","1,369","35","133,271","133,271","8,376","8,740","19,066","22,685","20,063","21,506","18,988","9,386","4,082","367","12","142,132","142,132","7,824","8,889","20,559","23,667","20,014","22,377","19,722","11,530","6,525","1,002","23"
"서울특별시 성동구 왕십리제2동(1120052000)","16,031","16,031","993","1,012","2,156","2,871","2,301","2,582","2,284","1,189","556","84","3","7,676","7,676","505","510","990","1,399","1,147","1,253","1,105","518","225","23","1","8,355","8,355","488","502","1,166","1,472","1,154","1,329","1,179","671","331","61","2"
"서울특별시 성동구 왕십리도선동(1120053500)","26,154","26,154","1,937","1,648","3,852","4,479","3,856","4,270","3,354","1,709","931","117","1","12,291","12,291","1,026","833","1,649","2,046","1,929","1,993","1,664","754","373","24","0","13,863","13,863","911","815","2,203","2,433","1,927","2,277","1,690","955","558","93","1"
"서울특별시 성동구 마장동(1120054000)","21,382","21,382","947","1,390","4,008","3,165","2,530","3,375","3,167","1,778","908","113","1","10,505","10,505","473","693","2,000","1,649","1,291","1,636","1,562","834","329","38","0","10,877","10,877","474","697","2,008","1,516","1,239","1,739","1,605","944","579","75","1"
"서울특별시 성동구 사근동(1120055000)","12,101","12,101","305","773","4,918","1,660","1,023","1,306","996","674","414","32","0","6,322","6,322","164","333","2,725","966","541","637","492","282","170","12","0","5,779","5,779","141","440","2,193","694","482","669","504","392","244","20","0"
"서울특별시 성동구 행당제1동(1120056000)","13,726","13,726","806","998","2,140","2,300","2,019","2,181","1,752","957","501","65","7","6,551","6,551","430","478","959","1,132","996","1,039","858","440","201","15","3","7,175","7,175","376","520","1,181","1,168","1,023","1,142","894","517","300","50","4"
"서울특별시 성동구 행당제2동(1120057000)","22,653","22,653","1,489","1,847","2,482","3,467","3,486","3,931","3,074","1,839","910","122","6","10,559","10,559","757","835","1,137","1,661","1,651","1,898","1,456","795","334","34","1","12,094","12,094","732","1,012","1,345","1,806","1,835","2,033","1,618","1,044","576","88","5"
"서울특별시 성동구 응봉동(1120058000)","14,808","14,808","922","1,460","1,611","2,053","2,530","2,554","1,845","1,106","648","79","0","7,009","7,009","492","751","739","989","1,174","1,243","873","473","251","24","0","7,799","7,799","430","709","872","1,064","1,356","1,311","972","633","397","55","0"
"서울특별시 성동구 금호1가동(1120059000)","14,612","14,612","1,032","1,018","1,462","2,302","2,456","2,316","2,135","1,230","573","87","1","6,926","6,926","545","504","712","1,070","1,249","1,107","978","537","205","19","0","7,686","7,686","487","514","750","1,232","1,207","1,209","1,157","693","368","68","1"
"서울특별시 성동구 금호2.3가동(1120061500)","21,630","21,630","1,503","1,201","2,371","3,775","3,445","3,478","3,090","1,735","909","117","6","10,279","10,279","764","612","1,172","1,810","1,712","1,662","1,448","739","329","29","2","11,351","11,351","739","589","1,199","1,965","1,733","1,816","1,642","996","580","88","4"
"서울특별시 성동구 금호4가동(1120062000)","14,090","14,090","1,161","916","1,261","2,365","2,526","2,132","1,937","1,146","570","74","2","6,627","6,627","605","462","617","1,086","1,248","1,041","855","494","200","18","1","7,463","7,463","556","454","644","1,279","1,278","1,091","1,082","652","370","56","1"
"서울특별시 성동구 옥수동(1120064500)","25,375","25,375","2,234","1,602","2,297","4,610","4,476","3,757","3,442","1,860","947","148","2","11,729","11,729","1,102","799","1,050","2,082","2,186","1,746","1,547","834","345","36","2","13,646","13,646","1,132","803","1,247","2,528","2,290","2,011","1,895","1,026","602","112","0"
"서울특별시 성동구 성수1가제1동(1120065000)","15,338","15,338","774","869","2,129","2,923","1,968","2,741","2,424","1,002","449","59","0","7,589","7,589","399","448","1,061","1,465","982","1,319","1,255","476","170","14","0","7,749","7,749","375","421","1,068","1,458","986","1,422","1,169","526","279","45","0"
"서울특별시 성동구 성수1가제2동(1120066000)","11,749","11,749","562","725","1,641","2,320","1,699","1,805","1,660","866","422","49","0","5,701","5,701","277","373","795","1,125","838","901","805","402","177","8","0","6,048","6,048","285","352","846","1,195","861","904","855","464","245","41","0"
