시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
경북,고령군,우곡면,40152,경상북도 고령군 우곡면 도진3길 21,우곡면행정복지센터,128.342087,35.67796,4783036000,1529,A2700070,13.9135,A1303449,27.9722,A2700030,39.3188,A1300004,39.7409,20241114_111132
경북,고령군,운수면,40123,경상북도 고령군 운수면 운용로 106,운수면행정복지센터,128.29045,35.769067,4783032000,1744,A2700070,6.8123,A2700030,25.8488,A1303449,29.8901,A1300003,33.197,20241114_111136
경북,구미시,고아읍,39142,경상북도 구미시 고아읍 선산대로 980,고아읍행정복지센터,128.3283922,36.2109468,4719025300,38950,A2700007,22.1507,A2700013,24.4564,A2700015,28.0119,A2700007,22.1393,20241114_111137
경북,구미시,공단동,39375,경상북도 구미시 1공단로 198-8,공단동주민센터,128.384463,36.10144,4719070000,4087,A2700013,2.523,A2700007,12.5283,A2700015,12.8246,A2700013,2.523,20241114_111138
경북,구미시,광평동,39345,경상북도 구미시 광평길 55,광평동주민센터,128.3660419,36.1047125,4719063000,4099,A2700013,5.6688,A2700007,8.3419,A2700015,16.2063,A2700013,5.6688,20241114_111139
경북,구미시,도개면,39103,경상북도 구미시 도개면 도안로 103,도개면행정복지센터,128.330813,36.299558,4719033000,2034,A2700063,21.9211,A2700009,23.3002,A2700007,28.2113,A2700007,28.192,20241114_111140
경북,구미시,도량동,39198,경상북도 구미시 문장로12길 1,도량동주민센터,128.332575,36.1405404,4719055100,27036,A2700007,11.8381,A2700013,17.011,A2700015,23.0934,A2700007,11.8381,20241114_111142
경북,구미시,무을면,39101,경상북도 구미시 무을면 상무로 981,무을면행정복지센터,128.1974625,36.2607667,4719031000,1772,A2700012,26.3281,A2700018,26.7246,A2700011,29.635,A2700012,26.3281,20241114_111143
경북,구미시,비산동,39244,경상북도 구미시 비산로 4,비산동주민센터,128.3722,36.119324,4719061000,12485,A2700013,8.5415,A2700007,11.2945,A2700015,14.3529,A2700013,8.5415,20241114_111144
경북,구미시,산동읍,39159,경상북도 구미시 산동읍 강동로 1038-5,산동읍행정복지센터,128.43415,36.1696763,4719025600,30667,A2700015,18.8242,A2700013,19.2654,A2700007,25.4982,A2700013,19.2653,20241114_111146
경북,구미시,상모사곡동,39325,경상북도 구미시 박정희로188,상모사곡동주민센터,128.3534996,36.0953818,4719064500,29497,A2700007,7.79,A2700013,8.1556,A2700015,19.6205,A2700007,7.79,20241114_111147
