hpid1,hpid2,travel_time,측정시각
A1300009,A2700005,64.0199,241031_003737
A1300009,A2700006,76.6727,241031_003737
A1300009,A2700007,41.152,241031_003737
A1300009,A2700008,58.1702,241031_003737
A1300009,A2700009,68.4831,241031_003737
A1300009,A2700011,71.1865,241031_003737
A1300009,A2700012,56.0488,241031_003737
A1300009,A2700013,38.6995,241031_003737
A1300009,A2700014,70.5409,241031_003737
A1300009,A2700015,45.0817,241031_003737
A1300009,A2700016,61.8608,241031_003737
A1300009,A2700017,44.5323,241031_003737
A1300009,A2700018,55.3944,241031_003737
A1300009,A2700019,28.6901,241031_003737
A1300009,A2700020,89.0389,241031_003737
A1300009,A2700023,83.426,241031_003737
A1300009,A2700026,106.6706,241031_003737
A1300009,A2700030,40.6368,241031_003737
A1300009,A2700031,90.5831,241031_003737
A1300009,A2700036,26.7962,241031_003737
A1300009,A2700038,34.9981,241031_003737
A1300009,A2700052,149.2083,241031_003737
A1300009,A2700063,65.3374,241031_003737
A1300009,A2700066,30.5523,241031_003737
A1300009,A2700070,40.2294,241031_003737
A1300009,A2700071,102.533,241031_003737
A1300009,A2700097,58.3956,241031_003737
A1300009,A2702563,65.7531,241031_003737
A1300009,A2702752,88.6075,241031_003737
A1300009,E2700553,331.1811,241031_003737
A1300009,E2700554,80.9126,241031_003737
A1300010,A1300001,23.7792,241031_003737
A1300010,A1300002,18.6502,241031_003737
A1300010,A1300003,21.0205,241031_003737
A1300010,A1300004,25.8516,241031_003737
A1300010,A1300005,10.4162,241031_003737
A1300010,A1300006,19.4511,241031_003737
A1300010,A1300007,21.0185,241031_003737
A1300010,A1300008,19.7115,241031_003737
A1300010,A1300009,17.5488,241031_003737
A1300010,A1300011,27.5224,241031_003737
A1300010,A1300018,21.7811,241031_003737
A1300010,A1300033,19.9747,241031_003737
A1300010,A1300034,24.8494,241031_003737
A1300010,A1300038,23.1662,241031_003737
A1300010,A1300045,25.6994,241031_003737
A1300010,A1300076,25.4666,241031_003737
A1300010,A1300081,25.2245,241031_003737
A1300010,A1300110,19.8991,241031_003737
A1300010,A1303386,23.7376,241031_003737
A1300010,A1303449,36.3609,241031_003737
A1300010,A2700001,61.4999,241031_003737
A1300010,A2700002,66.6941,241031_003737
A1300010,A2700003,57.7654,241031_003737
A1300010,A2700004,60.2412,241031_003737
A1300010,A2700005,65.2344,241031_003737
A1300010,A2700006,66.5157,241031_003737
A1300010,A2700007,35.0808,241031_003737
A1300010,A2700008,59.4752,241031_003737
A1300010,A2700009,58.9341,241031_003737
A1300010,A2700011,60.0892,241031_003737
A1300010,A2700012,49.4977,241031_003737
A1300010,A2700013,32.4891,241031_003737
A1300010,A2700014,55.5553,241031_003737
A1300010,A2700015,31.622,241031_003737
A1300010,A2700016,62.994,241031_003737
A1300010,A2700017,42.952,241031_003737
A1300010,A2700018,48.8357,241031_003737
A1300010,A2700019,31.019,241031_003737
A1300010,A2700020,74.2746,241031_003737
A1300010,A2700023,67.7203,241031_003737
A1300010,A2700026,92.2294,241031_003737
A1300010,A2700030,34.1993,241031_003737
A1300010,A2700031,75.6491,241031_003737
A1300010,A2700036,30.0463,241031_003737
A1300010,A2700038,37.0374,241031_003737
A1300010,A2700052,134.7168,241031_003737
A1300010,A2700063,51.2294,241031_003737
A1300010,A2700066,24.4,241031_003737
A1300010,A2700070,38.2225,241031_003737
A1300010,A2700071,87.4248,241031_003737
A1300010,A2700097,56.8509,241031_003737
A1300010,A2702563,66.875,241031_003737
A1300010,A2702752,73.8275,241031_003737
A1300010,E2700553,343.3329,241031_003737
A1300010,E2700554,66.9318,241031_003737
A1300011,A1300001,13.0584,241031_003737
A1300011,A1300002,16.0481,241031_003737
A1300011,A1300003,19.3428,241031_003737
A1300011,A1300004,14.2183,241031_003737
A1300011,A1300005,20.3501,241031_003737
A1300011,A1300006,14.5249,241031_003737
A1300011,A1300007,17.3602,241031_003737
A1300011,A1300008,19.8926,241031_003737
A1300011,A1300009,19.8625,241031_003737
A1300011,A1300010,24.5796,241031_003737
A1300011,A1300018,24.2706,241031_003737
A1300011,A1300033,17.2782,241031_003737
A1300011,A1300034,12.1583,241031_003737
A1300011,A1300038,9.1676,241031_003737
A1300011,A1300045,9.648,241031_003737
A1300011,A1300076,16.6757,241031_003737
A1300011,A1300081,21.495,241031_003737
A1300011,A1300110,14.8702,241031_003737
A1300011,A1303386,17.806,241031_003737
A1300011,A1303449,18.8599,241031_003737
A1300011,A2700001,74.7067,241031_003737
A1300011,A2700002,72.3757,241031_003737
A1300011,A2700003,64.4739,241031_003737
A1300011,A2700004,73.416,241031_003737
A1300011,A2700005,71.0062,241031_003737
A1300011,A2700006,76.8527,241031_003737
A1300011,A2700007,41.6271,241031_003737
A1300011,A2700008,65.1954,241031_003737
A1300011,A2700009,68.5561,241031_003737
A1300011,A2700011,71.2395,241031_003737
A1300011,A2700012,56.2609,241031_003737
A1300011,A2700013,39.0103,241031_003737
A1300011,A2700014,68.7108,241031_003737
A1300011,A2700015,44.3832,241031_003737
A1300011,A2700016,68.7658,241031_003737
A1300011,A2700017,45.5308,241031_003737
A1300011,A2700018,55.58,241031_003737
A1300011,A2700019,24.6807,241031_003737
A1300011,A2700020,87.0313,241031_003737
A1300011,A2700023,80.7028,241031_003737
A1300011,A2700026,105.4333,241031_003737
A1300011,A2700030,39.9644,241031_003737
A1300011,A2700031,88.4472,241031_003737
A1300011,A2700036,26.3985,241031_003737
A1300011,A2700038,34.3416,241031_003737
A1300011,A2700052,147.3162,241031_003737
A1300011,A2700063,63.7341,241031_003737
A1300011,A2700066,30.9228,241031_003737
A1300011,A2700070,34.0102,241031_003737
A1300011,A2700071,100.3718,241031_003737
A1300011,A2700097,62.7132,241031_003737
A1300011,A2702563,72.888,241031_003737
A1300011,A2702752,86.6073,241031_003737
A1300011,E2700553,340.3671,241031_003737
A1300011,E2700554,79.8773,241031_003737
A1300018,A1300001,20.9709,241031_003737
A1300018,A1300002,15.3864,241031_003737
A1300018,A1300003,29.209,241031_003737
A1300018,A1300004,23.8409,241031_003737
