시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수
경남,거제시,아주동,53310,경상남도 거제시 탑곡로 73,아주동주민센터,128.6906146,34.8621675,4831054000,25181
경남,거제시,연초면,53212,경상남도 거제시 연초면 죽토로 11,연초면사무소,128.6564347,34.9145445,4831037000,8222
경남,거제시,옥포1동,53229,경상남도 거제시 옥포로2길 7,옥포1동주민센터,128.6960168,34.8901212,4831055000,6993
경남,거제시,옥포2동,53224,경상남도 거제시 옥포로25길 20,옥포2동행정복지센터,128.6876521,34.8965499,4831056000,24203
경남,거제시,일운면,53328,경상남도 거제시 일운면 지세포4길 7,일운면사무소,128.7031953,34.8297454,4831031000,7854
경남,거제시,장목면,53201,경상남도 거제시 장목면 장동1길 46-1,장목면사무소,128.6822304,34.9865606,4831039000,4077
경남,거제시,장승포동,53320,경상남도 거제시 장승로 146-25,장승포동주민센터,128.7272156,34.8673746,4831051000,5287
경남,거제시,장평동,53268,경상남도 거제시 장평3로 10,장평동주민센터,128.6094496,34.8893628,4831057000,19942
경남,거제시,하청면,53204,경상남도 거제시 하청면 하청로 12-7,하청면사무소,128.6552131,34.9553903,4831038000,4180
경남,거창군,가북면,50117,경상남도 거창군 가북면 용암로 17-16,가북면행정복지센터,127.9932241,35.7627805,4888041000,1337
경남,거창군,가조면,50118,경상남도 거창군 가조면 장군봉1길 8,가조면행정복지센터,128.0147,35.711001,4888040000,3495
경남,거창군,거창읍,50131,경상남도 거창군 거창읍 거열로 90,거창읍행정복지센터,127.9039,35.6879429,4888025000,39758
경남,거창군,고제면,50111,경상남도 거창군 고제면 입석1길 14,고제면행정복지센터,127.8711156,35.8146337,4888033000,1338
경남,거창군,남상면,50148,경상남도 거창군 남상면 인평길 36,남상면행정복지센터,127.9101226,35.6432439,4888037000,2288
경남,거창군,남하면,50123,경상남도 거창군 남하면 영서로 41,남하면행정복지센터,127.9436449,35.6677641,4888038000,1414
경남,거창군,마리면,50109,경상남도 거창군 마리면 빼재로 18,마리면행정복지센터,127.854507,35.7014052,4888036000,1924
경남,거창군,북상면,50102,경상남도 거창군 북상면 송계로 710,북상면행정복지센터,127.8192421,35.7776967,4888034000,1533
경남,거창군,신원면,50153,경상남도 거창군 신원면 신차로 3067,신원면행정복지센터,127.9251888,35.5677733,4888039000,1513
경남,거창군,웅양면,50113,경상남도 거창군 웅양면 웅양로 1431,웅양면행정복지센터,127.9177675,35.8054068,4888032000,1775
경남,거창군,위천면,50103,경상남도 거창군 위천면 원학길 324,위천면행정복지센터,127.8331021,35.7496294,4888035000,1891
경남,거창군,주상면,50115,경상남도 거창군 주상면 주곡로 655,주상면행정복지센터,127.9133072,35.7491471,4888031000,1471
경남,고성군,개천면,52904,경상남도 고성군 개천면 옥천로 1278,개천면사무소,128.2589238,35.0987865,4882038000,1048
경남,고성군,거류면,52925,경상남도 고성군 거류면 당동3길 5,거류면사무소,128.4042812,34.9918215,4882043000,4113
경남,고성군,고성읍,52936,경상남도 고성군 고성읍 송학로 93,고성읍행정복지센터,128.3191976,34.9780763,4882025000,22834
경남,고성군,구만면,52908,경상남도 고성군 구만면 영회로 1765,구만면사무소,128.335,35.088015,4882039000,965
경남,고성군,대가면,52928,경상남도 고성군 대가면 대가로 471,대가면사무소,128.2985653,35.0175245,4882035000,1592
경남,고성군,동해면,52918,경상남도 고성군 동해면 장기3길 100,동해면사무소,128.421075,35.041467,4882042000,3000
경남,고성군,마암면,52911,경상남도 고성군 마암면 옥천로 247,마암면사무소,128.3366558,35.0551584,4882041000,1649
경남,고성군,삼산면,52959,경상남도 고성군 삼산면 공룡로 2137,삼산면사무소,128.2738073,34.9368932,4882031000,1698
경남,고성군,상리면,52951,경남 고성군 척번정1길 105,상리면사무소,128.1864013,34.9997999,4882034000,1548
경남,고성군,영오면,52901,경상남도 고성군 영오면 영산1길 7,영오면사무소,128.237663,35.107832,4882037000,1340
경남,고성군,영현면,52906,경상남도 고성군 영현면 대가로 1681,영현면사무소,128.2055606,35.054068,4882036000,853
경남,고성군,하이면,52961,경상남도 고성군 하이면 공룡로 1,하이면사무소,128.1227005,34.9286924,4882033000,2572
경남,고성군,하일면,52956,경상남도 고성군 하일면 공룡로 979,하일면사무소,128.1924397,34.9434825,4882032000,1762
경남,고성군,회화면,52915,경상남도 고성군 회화면 배둔로 80,회화면사무소,128.3732724,35.0603345,4882040000,3382
경남,김해시,내외동,50952,경상남도 김해시 내외로 67,내외동행정복지센터,128.8645731,35.2352077,4825054000,69804
경남,김해시,대동면,50809,경상남도 김해시 대동면 대동로 610,대동면행정복지센터,128.9802456,35.242281,4825037000,5150
경남,김해시,동상동,50915,경상남도 김해시 호계로517번길 8,동상동행정복지센터,128.883463,35.236826,4825051000,8773
경남,김해시,부원동,50924,경상남도 김해시 김해대로2371번길 24-16,부원동행정복지센터,128.8865647,35.2287145,4825053000,8969
경남,김해시,북부동,50901,경상남도 김해시 해반천로 160,북부동행정복지센터,128.8676556,35.2624643,4825055000,81362
경남,김해시,불암동,50937,경상남도 김해시 식만로 388,불암동행정복지센터,128.9265612,35.221932,4825060000,6679
경남,김해시,삼안동,50818,경상남도 김해시 활천로255번길 12,삼안동행정복지센터,128.9074716,35.2438943,4825059000,35015
경남,김해시,상동면,50805,경상남도 김해시 상동면 상동로 554,상동면행정복지센터,128.9304158,35.3077094,4825036000,2951
경남,김해시,생림면,50801,경상남도 김해시 생림면 봉림로 40,생림면행정복지센터,128.8491625,35.328175,4825035000,3468
경남,김해시,장유1동,50983,경상남도 김해시 금관대로 579,장유1동행정복지센터,128.8127538,35.2012564,4825061000,58192
경남,김해시,장유2동,50986,경상남도 김해시 능동로 43,장유2동행정복지센터,128.7977274,35.1971228,4825062000,37567
경남,김해시,장유3동,51005,경상남도 김해시 관동로 25,장유3동행정복지센터,128.8060193,35.1775361,4825063000,73800
경남,김해시,주촌면,50968,경상남도 김해시 주촌면 서부로1368번길 12,주촌면행정복지센터,128.8135916,35.2215262,4825032000,19790
경남,김해시,진례면,50874,경상남도 김해시 진례면 진례로 241,진례면행정복지센터,128.74775,35.2490513,4825033000,5787
경남,김해시,진영읍,50865,경상남도 김해시 진영읍 여래로20번길 11,진영읍행정복지센터,128.7332155,35.3043255,4825025000,53958
경남,김해시,칠산서부동,50939,경상남도 김해시 전하로208번길 7-13,칠산서부동행정복지센터,128.8707616,35.2227278,4825056500,8926
경남,김해시,한림면,50848,경상남도 김해시 한림면 한림로 369,한림면행정복지센터,128.8021947,35.320594,4825034000,6607
경남,김해시,활천동,50933,경상남도 김해시 인제로11번길 51,활천동행정복지센터,128.899875,35.228985,4825058000,36901
경남,김해시,회현동,50920,경상남도 김해시 가락로63번길 33,회현동행정복지센터,128.87825,35.231526,4825052000,8267
경남,남해군,고현면,52404,경상남도 남해군 고현면 탑동로 42,고현면행정복지센터,127.8742957,34.8956155,4884037000,3269
경남,남해군,남면,52437,경상남도 남해군 남면 남서대로 778,남면행정복지센터,127.8867477,34.7715213,4884035000,3269
경남,남해군,남해읍,52420,경상남도 남해군 남해읍 화전로 81,남해읍행정복지센터,127.8936703,34.8385125,4884025000,12324
경남,남해군,미조면,52442,경상남도 남해군 미조면 미송로 60　,미조면행정복지센터,128.0460335,34.7120248,4884034000,2055
경남,남해군,삼동면,52444,경상남도 남해군 삼동면 동부대로1876번길 12,삼동면행정복지센터,128.000954,34.8309558,4884033000,3655
경남,남해군,상주면,52440,경상남도 남해군 상주면 남해대로 705,상주면행정복지센터,127.9853899,34.7238235,4884032000,1552
경남,남해군,서면,52410,경상남도 남해군 서면 스포츠로 676,서면행정복지센터,127.8382013,34.8100403,4884036000,2418
경남,남해군,설천면,52401,경상남도 남해군 설천면 설천로 695　,설천면행정복지센터,127.9139662,34.9248717,4884038000,2647
경남,남해군,이동면,52431,경상남도 남해군 이동면 무림로 76　,이동면행정복지센터,127.9547031,34.7994271,4884031000,3585
