시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
경북,포항시 남구,호미곶면,37928,경상북도 포항시 남구 호미곶면 해맞이로 242,호미곶면행정복지센터,129.5555306,36.0808541,4711135000,1696,A2700002,32.7041,A2700008,36.1229,A2700016,36.1956,A2700002,32.7041,20241107_010252
경북,포항시 남구,효곡동,37664,경상북도 포항시 남구 효자동길 30,효곡동행정복지센터,129.3294116,36.0103335,4711158000,29541,A2700016,4.9755,A2700008,8.4832,A2700002,11.6349,A2700002,11.6349,20241107_010252
경북,포항시 북구,기계면,37528,경상북도 포항시 북구 기계면 근면길 14,기계면행정복지센터,129.21025,36.072433,4711334000,4809,A2700008,13.0834,A2700016,17.5038,A2700005,18.7338,A2700003,28.0728,20241107_010253
경북,포항시 북구,기북면,37524,경상북도 포항시 북구 기북면 기북로 443,기북면행정복지센터,129.16635,36.128582,4711336000,1301,A2700008,22.5689,A2700016,26.7103,A2700005,28.0709,A2700003,37.1027,20241107_010255
경북,포항시 북구,두호동,37708,경상북도 포항시 북구 삼호로 260,두호동행정복지센터,129.3800726,36.06092,4711369000,21499,A2702563,6.448,A2700005,13.419,A2700002,14.1336,A2700002,14.1336,20241107_010255
경북,포항시 북구,송라면,37511,경상북도 포항시 북구 송라면 보경로 56,송라면행정복지센터,129.3569449,36.2288341,4711333000,2373,A2702563,23.112,A2700008,23.3176,A2700005,25.776,A2700002,29.3312,20241107_010256
경북,포항시 북구,신광면,37522,경상북도 포항시 북구 신광면 토성길37번길 13,신광면행정복지센터,129.2629066,36.1301355,4711331000,2762,A2700008,21.0883,A2702563,21.1309,A2700005,23.5982,A2700002,27.248,20241107_010258
경북,포항시 북구,양학동,37695,경상북도 포항시 북구 양학로17번길 4,양학동행정복지센터,129.35035,36.025292,4711363000,16735,A2700005,5.5178,A2700002,6.1008,A2700008,6.2578,A2700002,6.1008,20241107_010258
경북,포항시 북구,용흥동,37652,경상북도 포항시 북구 새마을로 20,용흥동행정복지센터,129.3576629,36.038331,4711366500,20214,A2700005,4.1513,A2702563,4.8812,A2700002,7.5915,A2700002,7.5915,20241107_010259
경북,포항시 북구,우창동,37636,경상북도 포항시 북구 우창동로 24,우창동행정복지센터,129.3617193,36.0546798,4711368000,31917,A2702563,5.0416,A2700005,7.5333,A2700008,10.0921,A2700002,10.6267,20241107_010259
경북,포항시 북구,장량동,37586,경상북도 포항시 북구 장량로 50,장량동행정복지센터,129.3859196,36.0819654,4711370000,68777,A2702563,12.3914,A2700008,14.2708,A2700005,14.984,A2700002,18.4724,20241107_010300
경북,포항시 북구,죽도동,37744,경상북도 포항시 북구 죽도로40번길 28,죽도동행정복지센터,129.3631924,36.0312323,4711365500,18949,A2700005,5.1907,A2702563,6.4113,A2700002,7.1942,A2700002,7.1942,20241107_010300
경북,포항시 북구,죽장면,37507,경상북도 포항시 북구 죽장면 새마을로 3610,죽장면행정복지센터,129.095775,36.160182,4711335000,2655,A2700008,31.2032,E2700554,38.7879,A2700017,44.282,A2700003,45.5446,20241107_010301
경북,포항시 북구,중앙동,37718,경상북도 포항시 북구 학산로 54,중앙동행정복지센터,129.368524,36.0493963,4711352000,14070,A2702563,3.4026,A2700005,10.1729,A2700002,11.851,A2700002,11.851,20241107_010302
경북,포항시 북구,청하면,37515,경상북도 포항시 북구 청하면 청하로217번길 22,청하면행정복지센터,129.3407879,36.201124,4711332000,4444,A2702563,21.7337,A2700008,21.8188,A2700005,24.2177,A2700002,27.8458,20241107_010303
경북,포항시 북구,환여동,37601,경상북도 포항시 북구 삼호로 400,환여동행정복지센터,129.3917767,36.0682046,4711371000,8847,A2702563,8.5881,A2700005,15.4499,A2700002,15.9764,A2700002,15.9764,20241107_010304
경북,포항시 북구,흥해읍,37544,경상북도 포항시 북구 흥해읍 동해대로 1511,흥해읍행정복지센터,129.341663,36.107199,4711325000,50513,A2700008,12.4647,A2702563,12.5668,A2700005,15.0556,A2700002,18.783,20241107_010305
대구,군위군,군위읍,43114,대구광역시 군위군 군위읍 중앙길 134,군위읍행정복지센터,128.5687564,36.2399427,2772025000,7855,A2700063,25.1642,A1300010,27.8211,A1300005,29.6519,A1300010,27.8211,20241107_010306
대구,군위군,부계면,43162,대구광역시 군위군 부계면 창평길 3,부계면행정복지센터,128.663725,36.1007737,2772033000,2085,A1300010,30.4786,A1300005,33.0967,A1300018,42.7075,A1300010,30.4786,20241107_010308
대구,군위군,산성면,43158,대구광역시 군위군 산성면 산성가음로 668,산성면행정복지센터,128.6948951,36.1230536,2772036000,1181,A1300010,29.4211,A1300018,40.7852,A1300009,42.0056,A1300010,29.4211,20241107_010310
